Version,Threads,Execution_Time(s)
sequential,1,1.950894
sequential,1,1.941974
sequential,1,1.935332
sequential,1,1.945700
sequential,1,1.945444
parallel,2,1.053745
parallel,2,1.048254
parallel,2,1.039363
parallel,2,1.048565
parallel,2,1.038292
parallel,4,0.614742
parallel,4,0.603507
parallel,4,0.607268
parallel,4,0.601591
parallel,4,0.612114
parallel,8,0.437760
parallel,8,0.433873
parallel,8,0.436657
parallel,8,0.446164
parallel,8,0.447377
parallel,12,0.946117
parallel,12,0.374126
parallel,12,0.909826
parallel,12,0.369921
parallel,12,0.363859
